ID,Name,Category,Version,Power,Voltage,Current,IP Rating,Mount,Communication,Temp,Speed,Ratio,Efficiency,Output Speed,Torque,Housing / Material,Lubricant,Weight,Size,Connection,Pressure,Flow (Cv),Material,Media,Actuator,Flow Rate,Max Pressure,Tank Volume,Cooling,Noise
C-105,Rugged NEMA 4X / IP65 Outdoor VFD,Controllers,1,7.5 kW,380-415 V AC,16.5 A,IP65 (NEMA 4X),Wall Mount Outdoor,Profinet / Modbus RTU,-20°C to +55°C,,,,,,,,,,,,,,,,,,,,
GB-100,Coaxial Helical Gearbox H100,Gearboxes,1,4 kW,,,,Foot Mount,,,1440 RPM,10:1,96%,144 RPM,250 Nm,Cast Iron,Synthetic ISO VG 220,18 kg,,,,,,,,,,,,
GB-101,Medium Coaxial Helical Gearbox H101,Gearboxes,1,7.5 kW,,,,Foot / Flange,,,1440 RPM,20:1,95%,72 RPM,580 Nm,Cast Iron,Synthetic ISO VG 320,34 kg,,,,,,,,,,,,
GB-102,Right-Angle Worm Gearbox,Gearboxes,1,3 kW,,,,Shaft Mounted Hollow,,,1440 RPM,40:1,88%,36 RPM,320 Nm,Die-Cast Aluminum,PG 460,14 kg,,,,,,,,,,,,
GB-103,Heavy-Duty Planetary Gearbox,Gearboxes,1,15 kW,,,,Flange Mount B14,,,1440 RPM,60:1,94%,24 RPM,1800 Nm,Graphite Cast Iron,ISO VG 220,92 kg,,,,,,,,,,,,
GB-104,Compact Helical-Bevel Gearbox,Gearboxes,1,2.2 kW,,,,Foot / Flange,,,1440 RPM,5:1,96%,288 RPM,120 Nm,Die-Cast Aluminum,ISO VG 150,11 kg,,,,,,,,,,,,
V-100,High-Performance Stainless Ball Valve,Valves,2,,,,,,,-20°C to +180°C,,,,,,,,,DN50 (2 Inch),Flanged RF,16 bar (PN16),240,Stainless Steel 316,"Water, Chemicals, Mild Solvents",Manual Handle,,,,,
V-101,High-Pressure Cast Steel Gate Valve,Valves,1,,,,,,,-29°C to +425°C,,,,,,,,,DN80 (3 Inch),Flanged RF PN40,PN40,580,Carbon Steel WCB,"Steam, Water, Oil",Handwheel,,,,,
V-102,Pneumatic Actuated Butterfly Valve,Valves,1,,,,,,,-10°C to +110°C,,,,,,,,,DN100 (4 Inch),Wafer (Bolted),PN10 / PN16,620,Ductile Iron GGG40,"Water, Waste Slurry, Low Air",Pneumatic Double-Acting,,,,,
V-103,Sanitary Threaded Globe Valve,Valves,1,,,,,,,-20°C to +150°C,,,,,,,,,DN25 (1 Inch),Threaded NPT / Tri-Clamp,PN16,18,Stainless Steel 316L,"Food Juices, Sanitizers, Pure Steam",Manual / Digital,,,,,
V-104,Dual Plate Non-Return Check Valve,Valves,1,,,,,,,-20°C to +200°C,,,,,,,,,DN80 (3 Inch),Wafer (Standard),PN16,310,Stainless Steel 316,"Water, Chemical Solvents, Oil",Spring-Assisted,,,,,
COMP-100,Heavy-Duty Reciprocating Air Compressor,Compressors,1,5.5 kW,415 V,,,,,,1440 RPM,,,,,,165 kg,,,,,,,,600 L/min,10 bar,270 L,Air Cooled,75 dB(A),
COMP-101,High-Capacity Rotary Screw Compressor,Compressors,1,22 kW,415 V,,,,,,2900 RPM,,,,,,480 kg,,,,,,,,3000 L/min,13 bar,Tankless,Oil Injected / Air Cooler,68 dB(A),
COMP-102,Silent Rotary Scroll Compressor,Compressors,1,7.5 kW,415 V,,,,,,2900 RPM,,,,,,145 kg,,,,,,,,800 L/min,8 bar,200 L,Forced Air Cooled,62 dB(A),
COMP-103,Portable Site Air Compressor,Compressors,1,11 kW,415 V,,,,,,1440 RPM,,,,,,290 kg,,,,,,,,1200 L/min,10 bar,500 L,Air Cooled,78 dB(A),
