ID,Name,Category,Version,Power,Voltage,Current,IP Rating,Mount,Communication,Temp,Speed,Ratio,Efficiency,Output Speed,Torque,Housing / Material,Lubricant,Weight,Size,Connection,Pressure,Flow (Cv),Material,Media,Actuator,Flow Rate,Max Pressure,Tank Volume,Cooling,Noise
M-100,Heavy Duty Induction Motor,Motors,1,5.5 kW,415 V,10.5 A,IP55,Foot Mount (B3),,-20°C to +40°C,1440 RPM,,89.5%,,,Cast Iron,,45 kg,,,,,,,,,,,TEFC (Totally Enclosed Fan Cooled),
M-101,Premium High Efficiency Motor,Motors,10,7.5 kW,415 V,14.2 A,IP55,Foot Mount (B3),,-20°C to +40°C,1460 RPM,,91.0%,,,Cast Iron,,45 kg,,,,,,,,,,,TEFC (Totally Enclosed Fan Cooled),
M-102,Compact High-Speed Motor,Motors,1,11 kW,415 V,20.1 A,IP55,Flange Mount (B5),,-15°C to +45°C,2900 RPM,,91.8%,,,Cast Iron,,78 kg,,,,,,,,,,,TEFC,
M-103,Low-Speed High-Torque Motor,Motors,1,15 kW,415 V,29.5 A,IP55,Foot Mount (B3),,-20°C to +40°C,960 RPM,,90.2%,,,Cast Iron,,145 kg,,,,,,,,,,,TEFC,
M-104,Explosion-Proof Motor,Motors,1,7.5 kW,415 V,14.5 A,IP65,Foot Mount (B3),,-20°C to +60°C,1440 RPM,,90.5%,,,Reinforced Cast Iron,,65 kg,,,,,,,,,,,TEFC - Flameproof Ex d,
M-105,Single Phase Utility Motor,Motors,1,2.2 kW,230 V,12.8 A,IP44,Foot Mount (B3),,-10°C to +40°C,1440 RPM,,83.0%,,,Aluminum,,24 kg,,,,,,,,,,,TEFC,
M-106,High Power Industrial Motor,Motors,1,18.5 kW,415 V,33.2 A,IP55,Foot Mount (B3),,-20°C to +40°C,1440 RPM,,92.4%,,,Cast Iron,,162 kg,,,,,,,,,,,TEFC,
M-107,Marine Grade Induction Motor,Motors,1,11 kW,415 V,20.2 A,IP65,Foot/Flange (B35),,-20°C to +50°C,1440 RPM,,91.2%,,,Epoxy Coated Cast Iron,,89 kg,,,,,,,,,,,TEFC Marine Grade,
M-108,Dual-Speed Pole-Changing Motor,Motors,1,5.5 kW / 7.5 kW,415 V,11.2 / 14.8 A,IP55,Foot Mount (B3),,-15°C to +40°C,1440 / 2900 RPM,,88.0% / 89.5%,,,Cast Iron,,55 kg,,,,,,,,,,,TEFC,
M-109,Ultra-Premium IE4 Super-Efficiency Motor,Motors,1,15 kW,415 V,26.5 A,IP65,Foot/Flange (B35),,-20°C to +55°C,1500 RPM,,94.8%,,,Cast Iron,,110 kg,,,,,,,,,,,TEFC - Synchronous PM,
P-100,Centrifugal Water Pump,Pumps,2,5 kW,415 V,,IP55,,,-10°C to +90°C,1450 RPM,,,,,,,28 kg,,,8 bar,,Stainless Steel 304,,,100 L/min,10 bar,,,
P-101,High-Flow Centrifugal Pump,Pumps,1,7.5 kW,415 V,,IP55,,,-10°C to +90°C,1450 RPM,,,,,,,36 kg,,,,,Stainless Steel 304,,,250 L/min,6 bar,,,
P-102,High-Pressure Multistage Pump,Pumps,1,11 kW,415 V,,IP55,,,-15°C to +120°C,2900 RPM,,,,,,,65 kg,,,,,Cast Iron / SS304,,,80 L/min,25 bar,,,
P-103,Chemical Process Transfer Pump,Pumps,1,4 kW,415 V,,IP55,,,-20°C to +120°C,1450 RPM,,,,,,,32 kg,,,,,Stainless Steel 316,,,120 L/min,8 bar,,,
P-104,Heavy-Duty Solids Handling Pump,Pumps,1,7.5 kW,415 V,,IP55,,,0°C to +60°C,1450 RPM,,,,,,,72 kg,,,,,Hardened Cast Iron,,,500 L/min,4 bar,,,
P-105,Bronze Inline Circulation Pump,Pumps,1,2.2 kW,230 V,,IP44,,,-10°C to +110°C,1440 RPM,,,,,,,19 kg,,,,,Marine Bronze,,,150 L/min,5 bar,,,
P-106,High-Volume Industrial Water Pump,Pumps,1,15 kW,415 V,,IP55,,,-10°C to +80°C,1450 RPM,,,,,,,115 kg,,,,,Cast Iron / SS316,,,800 L/min,8 bar,,,
P-107,Submersible Drainage Pump,Pumps,1,3 kW,415 V,,IP68,,,0°C to +40°C (Submerged),2900 RPM,,,,,,,24 kg,,,,,Stainless Steel 316,,,300 L/min,3 bar,,,
C-100,Variable Frequency Drive V100,Controllers,1,,380-415 V AC,17 A,IP20,Panel Mount / DIN Rail,Modbus RTU,-10°C to +50°C,,,,,,,,,,,,,,,,,,,Forced Air Cooling,
C-101,Heavy-Duty VFD V101,Controllers,1,,380-415 V AC,38 A,IP54,Wall Mount,Profinet / Modbus TCP,-10°C to +50°C,,,,,,,,,,,,,,,,,,,Dual Internal Fans,
